Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-dokument.json	21707	-	0	0	0	0	0	0	13	89	0	0	0	0	0	0	0	1	0	0	40	171	367	0	0	0	8	0	5
fsh-generated/resources/CapabilityStatement-mii-cps-dokument-capabilitystatement.json	12578	6	0	0	4	0	0	0	2	23	0	0	0	0	0	0	0	0	0	0	19	53	67	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-dokument-nlp-processing-status.json	3895	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	17	24	141	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerAnnotiertesDokument.json	48998	5	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	0	0	16	89	88	0	0	0	0	0	1
fsh-generated/resources/DocumentReference-AmandaAlzheimerDeIdentifiziertesDokument.json	11513	3	0	0	0	0	1	0	1	9	0	0	0	0	0	0	0	0	0	0	11	31	27	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerKlartextDokument.json	12133	3	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	10	40	41	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerOriginalDokument.json	20387	4	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	10	58	33	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerAbteilungskontakt.json	1349	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	14	26	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerEinrichtungskontakt.json	1073	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	20	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerVersorgungsstellenKontakt.json	1172	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	12	26	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-NlpPipelineAmandaAlzheimer.json	12742	4	0	0	0	0	0	0	1	64	0	0	0	0	0	0	0	0	0	0	11	94	1094	0	0	0	1	0	0
fsh-generated/resources/Patient-AmandaAlzheimer.json	654	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	7	8	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-dokument-nlp-processing-status.json	2757	2	0	23	0	0	0	1	0	496	0	0	0	0	0	0	0	0	0	0	1	127	1065	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-lm-dokument.json	15176	6	0	35	0	0	0	0	0	61	0	0	1	0	0	0	0	1	0	0	3	258	606	0	1	0	7	0	2
fsh-generated/resources/StructureDefinition-mii-pr-dokument-dokument.json	56044	15	0	244	0	0	0	0	1	252	0	0	1	0	0	0	0	4	0	0	2	1116	2296	0	0	0	30	1	8
fsh-generated/resources/ValueSet-mii-vs-dokument-einrichtungsart.json	2243	2	0	0	0	0	0	0	0	1744	0	0	0	0	0	0	0	0	0	0	8	14	454	0	0	0	1	0	1
fsh-generated/resources/ValueSet-mii-vs-dokument-fachgebiet.json	1610	2	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	7	9	237	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-format-code.json	1041	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	10	1196	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-nlp-processing-status.json	1025	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	8	95	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-sct-dokument-kategorie.json	1556	2	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	8	9	148	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-sct-dokument-typ.json	1512	2	0	0	0	0	0	0	1	334	0	0	0	0	0	0	0	0	0	0	8	8	131	0	0	0	0	0	0
input/resources/CodeSystem-iso3166-1-fragment.json	978	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	9	9	57	0	0	0	0	0	0
input/resources/CodeSystem-iso3166-2-fragment.json	863	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	7	67	0	0	0	1	0	0
input/resources/CodeSystem-unsd-m49-fragment.json	1446	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	11	68	0	0	0	0	0	0
input/resources/Parameters-expansion-manifest.json	513	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	17	29	0	0	0	0	0	0
/input/includes/fragment-css.html	4055	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/menu.xml	3572	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1962	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/translations_de.json	945	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/intro-notes/ExampleScenario-NlpPipelineAmandaAlzheimer-intro.md	302	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-pr-dokument-dokument-intro.md	1775	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/intro-notes/StructureDefinition-mii-ex-dokument-nlp-processing-status-intro.md	3858	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/version-history.md	3473	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/value-sets.md	7429	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
/input/pagecontent/search-parameters.md	8992	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/profiles.md	1667	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/ImplementationGuide-mii-ig-dokument.md	3625	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/extensions.md	882	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/code-systems.md	2626	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pagecontent/downloads.md	2805	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/examples.md	9417	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/security-and-privacy.md	4822	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/logical-models.md	2534	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
/input/pagecontent/metadata.md	20519	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pagecontent/translationinfo.md	1317	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/guidance.md	5942	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/changes.md	8394	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/capability-statements.md	1351	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/uml-diagrams.md	1829	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
