Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-dokument.json	21699	-	0	0	0	0	0	0	18	82	0	0	0	0	0	0	0	1	0	0	31	233	462	0	0	0	6	0	2
fsh-generated/resources/CapabilityStatement-mii-cps-dokument-capabilitystatement.json	12574	6	0	0	2	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	16	64	88	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-dokument-nlp-processing-status.json	3891	3	0	0	1	0	0	0	1	11	0	0	1	0	0	0	0	0	0	0	15	28	157	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerAnnotiertesDokument.json	48998	3	0	0	0	0	0	0	0	998	0	0	0	0	0	0	0	0	0	0	12	105	91	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerDeIdentifiziertesDokument.json	11513	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	9	39	36	0	0	1	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerKlartextDokument.json	12133	3	0	0	0	0	0	0	1	903	0	0	0	0	0	0	0	0	0	0	9	47	52	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerOriginalDokument.json	20387	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	48	55	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerAbteilungskontakt.json	1349	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	16	31	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerEinrichtungskontakt.json	1073	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	9	10	21	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerVersorgungsstellenKontakt.json	1172	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	11	43	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-NlpPipelineAmandaAlzheimer.json	12738	3	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	11	66	1280	0	0	0	1	0	0
fsh-generated/resources/Patient-AmandaAlzheimer.json	654	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	9	8	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-dokument-nlp-processing-status.json	2753	2	0	86	0	0	0	0	0	511	0	0	1	0	0	0	0	1	0	0	1	132	1111	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mii-lm-dokument.json	15172	5	0	38	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	3	286	646	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-mii-pr-dokument-dokument.json	56040	14	0	249	0	0	0	0	1	204	0	0	1	0	0	0	0	2	0	0	2	1012	2089	0	0	0	35	0	2
